2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
1194 , 0x20695ae60
1195 , 0x20695ae80
1196 , 0x20695aea0
1197 , 0x20695aec0
1198 , 0x20695aee0
1199 , 0x20695af00
1200 , 0x20695af20
1201 , 0x20695af40
1202 , 0x20695af60
1203 , 0x20695af80
1204 , 0x20695afa0
1205 , 0x20695afc0
1206 , 0x20695afe0
1207 , 0x20695b000
1208 , 0x20695b020
1209 , 0x20695b040
1210 , 0x20695b060
1211 , 0x20695b080
1212 , 0x20695b0a0
1213 , 0x20695b0c0
1214 , 0x20695b0e0
1215 , 0x20695b100
1120 , 0x20695a520
1121 , 0x20695a540
1122 , 0x20695a560
1123 , 0x20695a580
1124 , 0x20695a5a0
1125 , 0x20695a5c0
1126 , 0x20695a5e0
1127 , 0x20695a600
1128 , 0x20695a620
1129 , 0x20695a640
1130 , 0x20695a660
1131 , 0x20695a680
1132 , 0x20695a6a0
1133 , 0x20695a6c0
1134 , 0x20695a6e0
1135 , 0x20695a700
1136 , 0x20695a720
1137 , 0x20695a740
1138 , 0x20695a760
1139 , 0x20695a780
1140 , 0x20695a7a0
1141 , 0x20695a7c0
1142 , 0x20695a7e0
1143 , 0x20695a800
1144 , 0x20695a820
1145 , 0x20695a840
1146 , 0x20695a860
1147 , 0x20695a880
1148 , 0x20695a8a0
1149 , 0x20695a8c0
1150 , 0x20695a8e0
1151 , 0x20695a900
1024 , 0x206959920
1025 , 0x206959940
1026 , 0x206959960
1027 , 0x206959980
1028 , 0x2069599a0
1029 , 0x2069599c0
1030 , 0x2069599e0
1031 , 0x206959a00
1032 , 0x206959a20
1033 , 0x206959a40
1034 , 0x206959a60
1035 , 0x206959a80
1036 , 0x206959aa0
1037 , 0x206959ac0
1038 , 0x206959ae0
1039 , 0x206959b00
1040 , 0x206959b20
1041 , 0x206959b40
1042 , 0x206959b60
1043 , 0x206959b80
1044 , 0x206959ba0
1045 , 0x206959bc0
1046 , 0x206959be0
1047 , 0x206959c00
1048 , 0x206959c20
1049 , 0x206959c40
1050 , 0x206959c60
1051 , 0x206959c80
1052 , 0x206959ca0
1053 , 0x206959cc0
1054 , 0x206959ce0
1055 , 0x206959d00
1376 , 0x20695c520
1377 , 0x20695c540
1378 , 0x20695c560
1379 , 0x20695c580
1380 , 0x20695c5a0
1381 , 0x20695c5c0
1382 , 0x20695c5e0
1383 , 0x20695c600
1384 , 0x20695c620
1385 , 0x20695c640
1386 , 0x20695c660
1387 , 0x20695c680
1388 , 0x20695c6a0
1389 , 0x20695c6c0
1390 , 0x20695c6e0
1391 , 0x20695c700
1392 , 0x20695c720
1393 , 0x20695c740
1394 , 0x20695c760
1395 , 0x20695c780
1396 , 0x20695c7a0
1397 , 0x20695c7c0
1398 , 0x20695c7e0
1399 , 0x20695c800
1400 , 0x20695c820
1401 , 0x20695c840
1402 , 0x20695c860
1403 , 0x20695c880
1404 , 0x20695c8a0
1405 , 0x20695c8c0
1406 , 0x20695c8e0
1407 , 0x20695c900
0 , 0x206951920
1 , 0x206951940
2 , 0x206951960
3 , 0x206951980
4 , 0x2069519a0
5 , 0x2069519c0
6 , 0x2069519e0
7 , 0x206951a00
8 , 0x206951a20
9 , 0x206951a40
10 , 0x206951a60
11 , 0x206951a80
12 , 0x206951aa0
13 , 0x206951ac0
14 , 0x206951ae0
15 , 0x206951b00
16 , 0x206951b20
17 , 0x206951b40
18 , 0x206951b60
19 , 0x206951b80
20 , 0x206951ba0
21 , 0x206951bc0
22 , 0x206951be0
23 , 0x206951c00
24 , 0x206951c20
25 , 0x206951c40
26 , 0x206951c60
27 , 0x206951c80
28 , 0x206951ca0
29 , 0x206951cc0
30 , 0x206951ce0
31 , 0x206951d00
1216 , 0x20695b120
1217 , 0x20695b140
1218 , 0x20695b160
1219 , 0x20695b180
1220 , 0x20695b1a0
1221 , 0x20695b1c0
1222 , 0x20695b1e0
1223 , 0x20695b200
1224 , 0x20695b220
1225 , 0x20695b240
1226 , 0x20695b260
1227 , 0x20695b280
1228 , 0x20695b2a0
1229 , 0x20695b2c0
1230 , 0x20695b2e0
1231 , 0x20695b300
1232 , 0x20695b320
1233 , 0x20695b340
1234 , 0x20695b360
1235 , 0x20695b380
1236 , 0x20695b3a0
1237 , 0x20695b3c0
1238 , 0x20695b3e0
1239 , 0x20695b400
1240 , 0x20695b420
1241 , 0x20695b440
1242 , 0x20695b460
1243 , 0x20695b480
1244 , 0x20695b4a0
1245 , 0x20695b4c0
1246 , 0x20695b4e0
1247 , 0x20695b500
1472 , 0x20695d120
1473 , 0x20695d140
1474 , 0x20695d160
1475 , 0x20695d180
1476 , 0x20695d1a0
1477 , 0x20695d1c0
1478 , 0x20695d1e0
1479 , 0x20695d200
1480 , 0x20695d220
1481 , 0x20695d240
1482 , 0x20695d260
1483 , 0x20695d280
1484 , 0x20695d2a0
1485 , 0x20695d2c0
1486 , 0x20695d2e0
1487 , 0x20695d300
1488 , 0x20695d320
1489 , 0x20695d340
1490 , 0x20695d360
1491 , 0x20695d380
1492 , 0x20695d3a0
1493 , 0x20695d3c0
1494 , 0x20695d3e0
1495 , 0x20695d400
1496 , 0x20695d420
1497 , 0x20695d440
1498 , 0x20695d460
1499 , 0x20695d480
1500 , 0x20695d4a0
1501 , 0x20695d4c0
1502 , 0x20695d4e0
1503 , 0x20695d500
288 , 0x206953d20
289 , 0x206953d40
290 , 0x206953d60
291 , 0x206953d80
292 , 0x206953da0
293 , 0x206953dc0
294 , 0x206953de0
295 , 0x206953e00
296 , 0x206953e20
297 , 0x206953e40
298 , 0x206953e60
299 , 0x206953e80
300 , 0x206953ea0
301 , 0x206953ec0
302 , 0x206953ee0
303 , 0x206953f00
304 , 0x206953f20
305 , 0x206953f40
306 , 0x206953f60
307 , 0x206953f80
308 , 0x206953fa0
309 , 0x206953fc0
310 , 0x206953fe0
311 , 0x206954000
312 , 0x206954020
313 , 0x206954040
314 , 0x206954060
315 , 0x206954080
316 , 0x2069540a0
317 , 0x2069540c0
318 , 0x2069540e0
319 , 0x206954100
1664 , 0x20695e920
1665 , 0x20695e940
1666 , 0x20695e960
1667 , 0x20695e980
1668 , 0x20695e9a0
1669 , 0x20695e9c0
1670 , 0x20695e9e0
1671 , 0x20695ea00
1672 , 0x20695ea20
1673 , 0x20695ea40
1674 , 0x20695ea60
1675 , 0x20695ea80
1676 , 0x20695eaa0
1677 , 0x20695eac0
1678 , 0x20695eae0
1679 , 0x20695eb00
1680 , 0x20695eb20
1681 , 0x20695eb40
1682 , 0x20695eb60
1683 , 0x20695eb80
1684 , 0x20695eba0
1685 , 0x20695ebc0
1686 , 0x20695ebe0
1687 , 0x20695ec00
1688 , 0x20695ec20
1689 , 0x20695ec40
1690 , 0x20695ec60
1691 , 0x20695ec80
1692 , 0x20695eca0
1693 , 0x20695ecc0
1694 , 0x20695ece0
1695 , 0x20695ed00
1344 , 0x20695c120
1345 , 0x20695c140
1346 , 0x20695c160
1347 , 0x20695c180
1348 , 0x20695c1a0
1349 , 0x20695c1c0
1350 , 0x20695c1e0
1351 , 0x20695c200
1352 , 0x20695c220
1353 , 0x20695c240
1354 , 0x20695c260
1355 , 0x20695c280
1356 , 0x20695c2a0
1357 , 0x20695c2c0
1358 , 0x20695c2e0
1359 , 0x20695c300
1360 , 0x20695c320
1361 , 0x20695c340
1362 , 0x20695c360
1363 , 0x20695c380
1364 , 0x20695c3a0
1365 , 0x20695c3c0
1366 , 0x20695c3e0
1367 , 0x20695c400
1368 , 0x20695c420
1369 , 0x20695c440
1370 , 0x20695c460
1371 , 0x20695c480
1372 , 0x20695c4a0
1373 , 0x20695c4c0
1374 , 0x20695c4e0
1375 , 0x20695c500
1536 , 0x20695d920
1537 , 0x20695d940
1538 , 0x20695d960
1539 , 0x20695d980
1540 , 0x20695d9a0
1541 , 0x20695d9c0
1542 , 0x20695d9e0
1543 , 0x20695da00
1544 , 0x20695da20
1545 , 0x20695da40
1546 , 0x20695da60
1547 , 0x20695da80
1548 , 0x20695daa0
1549 , 0x20695dac0
1550 , 0x20695dae0
1551 , 0x20695db00
1552 , 0x20695db20
1553 , 0x20695db40
1554 , 0x20695db60
1555 , 0x20695db80
1556 , 0x20695dba0
1557 , 0x20695dbc0
1558 , 0x20695dbe0
1559 , 0x20695dc00
1560 , 0x20695dc20
1561 , 0x20695dc40
1562 , 0x20695dc60
1563 , 0x20695dc80
1564 , 0x20695dca0
1565 , 0x20695dcc0
1566 , 0x20695dce0
1567 , 0x20695dd00
1408 , 0x20695c920
1409 , 0x20695c940
1410 , 0x20695c960
1411 , 0x20695c980
1412 , 0x20695c9a0
1413 , 0x20695c9c0
1414 , 0x20695c9e0
1415 , 0x20695ca00
1416 , 0x20695ca20
1417 , 0x20695ca40
1418 , 0x20695ca60
1419 , 0x20695ca80
1420 , 0x20695caa0
1421 , 0x20695cac0
1422 , 0x20695cae0
1423 , 0x20695cb00
1424 , 0x20695cb20
1425 , 0x20695cb40
1426 , 0x20695cb60
1427 , 0x20695cb80
1428 , 0x20695cba0
1429 , 0x20695cbc0
1430 , 0x20695cbe0
1431 , 0x20695cc00
1432 , 0x20695cc20
1433 , 0x20695cc40
1434 , 0x20695cc60
1435 , 0x20695cc80
1436 , 0x20695cca0
1437 , 0x20695ccc0
1438 , 0x20695cce0
1439 , 0x20695cd00
1152 , 0x20695a920
1153 , 0x20695a940
1154 , 0x20695a960
1155 , 0x20695a980
1156 , 0x20695a9a0
1157 , 0x20695a9c0
1158 , 0x20695a9e0
1159 , 0x20695aa00
1160 , 0x20695aa20
1161 , 0x20695aa40
1162 , 0x20695aa60
1163 , 0x20695aa80
1164 , 0x20695aaa0
1165 , 0x20695aac0
1166 , 0x20695aae0
1167 , 0x20695ab00
1168 , 0x20695ab20
1169 , 0x20695ab40
1170 , 0x20695ab60
1171 , 0x20695ab80
1172 , 0x20695aba0
1173 , 0x20695abc0
1174 , 0x20695abe0
1175 , 0x20695ac00
1176 , 0x20695ac20
1177 , 0x20695ac40
1178 , 0x20695ac60
1179 , 0x20695ac80
1180 , 0x20695aca0
1181 , 0x20695acc0
1182 , 0x20695ace0
1183 , 0x20695ad00
1248 , 0x20695b520
1249 , 0x20695b540
1250 , 0x20695b560
1251 , 0x20695b580
1252 , 0x20695b5a0
1253 , 0x20695b5c0
1254 , 0x20695b5e0
1255 , 0x20695b600
1256 , 0x20695b620
1257 , 0x20695b640
1258 , 0x20695b660
1259 , 0x20695b680
1260 , 0x20695b6a0
1261 , 0x20695b6c0
1262 , 0x20695b6e0
1263 , 0x20695b700
1264 , 0x20695b720
1265 , 0x20695b740
1266 , 0x20695b760
1267 , 0x20695b780
1268 , 0x20695b7a0
1269 , 0x20695b7c0
1270 , 0x20695b7e0
1271 , 0x20695b800
1272 , 0x20695b820
1273 , 0x20695b840
1274 , 0x20695b860
1275 , 0x20695b880
1276 , 0x20695b8a0
1277 , 0x20695b8c0
1278 , 0x20695b8e0
1279 , 0x20695b900
1088 , 0x20695a120
1089 , 0x20695a140
1090 , 0x20695a160
1091 , 0x20695a180
1092 , 0x20695a1a0
1093 , 0x20695a1c0
1094 , 0x20695a1e0
1095 , 0x20695a200
1096 , 0x20695a220
1097 , 0x20695a240
1098 , 0x20695a260
1099 , 0x20695a280
1100 , 0x20695a2a0
1101 , 0x20695a2c0
1102 , 0x20695a2e0
1103 , 0x20695a300
1104 , 0x20695a320
1105 , 0x20695a340
1106 , 0x20695a360
1107 , 0x20695a380
1108 , 0x20695a3a0
1109 , 0x20695a3c0
1110 , 0x20695a3e0
1111 , 0x20695a400
1112 , 0x20695a420
1113 , 0x20695a440
1114 , 0x20695a460
1115 , 0x20695a480
1116 , 0x20695a4a0
1117 , 0x20695a4c0
1118 , 0x20695a4e0
1119 , 0x20695a500
1056 , 0x206959d20
1057 , 0x206959d40
1058 , 0x206959d60
1059 , 0x206959d80
1060 , 0x206959da0
1061 , 0x206959dc0
1062 , 0x206959de0
1063 , 0x206959e00
1064 , 0x206959e20
1065 , 0x206959e40
1066 , 0x206959e60
1067 , 0x206959e80
1068 , 0x206959ea0
1069 , 0x206959ec0
1070 , 0x206959ee0
1071 , 0x206959f00
1072 , 0x206959f20
1073 , 0x206959f40
1074 , 0x206959f60
1075 , 0x206959f80
1076 , 0x206959fa0
1077 , 0x206959fc0
1078 , 0x206959fe0
1079 , 0x20695a000
1080 , 0x20695a020
1081 , 0x20695a040
1082 , 0x20695a060
1083 , 0x20695a080
1084 , 0x20695a0a0
1085 , 0x20695a0c0
1086 , 0x20695a0e0
1087 , 0x20695a100
704 , 0x206957120
705 , 0x206957140
706 , 0x206957160
707 , 0x206957180
708 , 0x2069571a0
709 , 0x2069571c0
710 , 0x2069571e0
711 , 0x206957200
712 , 0x206957220
713 , 0x206957240
714 , 0x206957260
715 , 0x206957280
716 , 0x2069572a0
717 , 0x2069572c0
718 , 0x2069572e0
719 , 0x206957300
720 , 0x206957320
721 , 0x206957340
722 , 0x206957360
723 , 0x206957380
724 , 0x2069573a0
725 , 0x2069573c0
726 , 0x2069573e0
727 , 0x206957400
728 , 0x206957420
729 , 0x206957440
730 , 0x206957460
731 , 0x206957480
732 , 0x2069574a0
733 , 0x2069574c0
734 , 0x2069574e0
735 , 0x206957500
512 , 0x206955920
513 , 0x206955940
514 , 0x206955960
515 , 0x206955980
516 , 0x2069559a0
517 , 0x2069559c0
518 , 0x2069559e0
519 , 0x206955a00
520 , 0x206955a20
521 , 0x206955a40
522 , 0x206955a60
523 , 0x206955a80
524 , 0x206955aa0
525 , 0x206955ac0
526 , 0x206955ae0
527 , 0x206955b00
528 , 0x206955b20
529 , 0x206955b40
530 , 0x206955b60
531 , 0x206955b80
532 , 0x206955ba0
533 , 0x206955bc0
534 , 0x206955be0
535 , 0x206955c00
536 , 0x206955c20
537 , 0x206955c40
538 , 0x206955c60
539 , 0x206955c80
540 , 0x206955ca0
541 , 0x206955cc0
542 , 0x206955ce0
543 , 0x206955d00
448 , 0x206955120
449 , 0x206955140
450 , 0x206955160
451 , 0x206955180
452 , 0x2069551a0
453 , 0x2069551c0
454 , 0x2069551e0
455 , 0x206955200
456 , 0x206955220
457 , 0x206955240
458 , 0x206955260
459 , 0x206955280
460 , 0x2069552a0
461 , 0x2069552c0
462 , 0x2069552e0
463 , 0x206955300
464 , 0x206955320
465 , 0x206955340
466 , 0x206955360
467 , 0x206955380
468 , 0x2069553a0
469 , 0x2069553c0
470 , 0x2069553e0
471 , 0x206955400
472 , 0x206955420
473 , 0x206955440
474 , 0x206955460
475 , 0x206955480
476 , 0x2069554a0
477 , 0x2069554c0
478 , 0x2069554e0
479 , 0x206955500
640 , 0x206956920
641 , 0x206956940
642 , 0x206956960
643 , 0x206956980
644 , 0x2069569a0
645 , 0x2069569c0
646 , 0x2069569e0
647 , 0x206956a00
648 , 0x206956a20
649 , 0x206956a40
650 , 0x206956a60
651 , 0x206956a80
652 , 0x206956aa0
653 , 0x206956ac0
654 , 0x206956ae0
655 , 0x206956b00
656 , 0x206956b20
657 , 0x206956b40
658 , 0x206956b60
659 , 0x206956b80
660 , 0x206956ba0
661 , 0x206956bc0
662 , 0x206956be0
663 , 0x206956c00
664 , 0x206956c20
665 , 0x206956c40
666 , 0x206956c60
667 , 0x206956c80
668 , 0x206956ca0
669 , 0x206956cc0
670 , 0x206956ce0
671 , 0x206956d00
320 , 0x206954120
321 , 0x206954140
322 , 0x206954160
323 , 0x206954180
324 , 0x2069541a0
325 , 0x2069541c0
326 , 0x2069541e0
327 , 0x206954200
328 , 0x206954220
329 , 0x206954240
330 , 0x206954260
331 , 0x206954280
332 , 0x2069542a0
333 , 0x2069542c0
334 , 0x2069542e0
335 , 0x206954300
336 , 0x206954320
337 , 0x206954340
338 , 0x206954360
339 , 0x206954380
340 , 0x2069543a0
341 , 0x2069543c0
342 , 0x2069543e0
343 , 0x206954400
344 , 0x206954420
345 , 0x206954440
346 , 0x206954460
347 , 0x206954480
348 , 0x2069544a0
349 , 0x2069544c0
350 , 0x2069544e0
351 , 0x206954500
736 , 0x206957520
737 , 0x206957540
738 , 0x206957560
739 , 0x206957580
740 , 0x2069575a0
741 , 0x2069575c0
742 , 0x2069575e0
743 , 0x206957600
744 , 0x206957620
745 , 0x206957640
746 , 0x206957660
747 , 0x206957680
748 , 0x2069576a0
749 , 0x2069576c0
750 , 0x2069576e0
751 , 0x206957700
752 , 0x206957720
753 , 0x206957740
754 , 0x206957760
755 , 0x206957780
756 , 0x2069577a0
757 , 0x2069577c0
758 , 0x2069577e0
759 , 0x206957800
760 , 0x206957820
761 , 0x206957840
762 , 0x206957860
763 , 0x206957880
764 , 0x2069578a0
765 , 0x2069578c0
766 , 0x2069578e0
767 , 0x206957900
256 , 0x206953920
257 , 0x206953940
258 , 0x206953960
259 , 0x206953980
260 , 0x2069539a0
261 , 0x2069539c0
262 , 0x2069539e0
263 , 0x206953a00
264 , 0x206953a20
265 , 0x206953a40
266 , 0x206953a60
267 , 0x206953a80
268 , 0x206953aa0
269 , 0x206953ac0
270 , 0x206953ae0
271 , 0x206953b00
272 , 0x206953b20
273 , 0x206953b40
274 , 0x206953b60
275 , 0x206953b80
276 , 0x206953ba0
277 , 0x206953bc0
278 , 0x206953be0
279 , 0x206953c00
280 , 0x206953c20
281 , 0x206953c40
282 , 0x206953c60
283 , 0x206953c80
284 , 0x206953ca0
285 , 0x206953cc0
286 , 0x206953ce0
287 , 0x206953d00
64 , 0x206952120
65 , 0x206952140
66 , 0x206952160
67 , 0x206952180
68 , 0x2069521a0
69 , 0x2069521c0
70 , 0x2069521e0
71 , 0x206952200
72 , 0x206952220
73 , 0x206952240
74 , 0x206952260
75 , 0x206952280
76 , 0x2069522a0
77 , 0x2069522c0
78 , 0x2069522e0
79 , 0x206952300
80 , 0x206952320
81 , 0x206952340
82 , 0x206952360
83 , 0x206952380
84 , 0x2069523a0
85 , 0x2069523c0
86 , 0x2069523e0
87 , 0x206952400
88 , 0x206952420
89 , 0x206952440
90 , 0x206952460
91 , 0x206952480
92 , 0x2069524a0
93 , 0x2069524c0
94 , 0x2069524e0
95 , 0x206952500
128 , 0x206952920
129 , 0x206952940
130 , 0x206952960
131 , 0x206952980
132 , 0x2069529a0
133 , 0x2069529c0
134 , 0x2069529e0
135 , 0x206952a00
136 , 0x206952a20
137 , 0x206952a40
138 , 0x206952a60
139 , 0x206952a80
140 , 0x206952aa0
141 , 0x206952ac0
142 , 0x206952ae0
143 , 0x206952b00
144 , 0x206952b20
145 , 0x206952b40
146 , 0x206952b60
147 , 0x206952b80
148 , 0x206952ba0
149 , 0x206952bc0
150 , 0x206952be0
151 , 0x206952c00
152 , 0x206952c20
153 , 0x206952c40
154 , 0x206952c60
155 , 0x206952c80
156 , 0x206952ca0
157 , 0x206952cc0
158 , 0x206952ce0
159 , 0x206952d00
416 , 0x206954d20
417 , 0x206954d40
418 , 0x206954d60
419 , 0x206954d80
420 , 0x206954da0
421 , 0x206954dc0
422 , 0x206954de0
423 , 0x206954e00
424 , 0x206954e20
425 , 0x206954e40
426 , 0x206954e60
427 , 0x206954e80
428 , 0x206954ea0
429 , 0x206954ec0
430 , 0x206954ee0
431 , 0x206954f00
432 , 0x206954f20
433 , 0x206954f40
434 , 0x206954f60
435 , 0x206954f80
436 , 0x206954fa0
437 , 0x206954fc0
438 , 0x206954fe0
439 , 0x206955000
440 , 0x206955020
441 , 0x206955040
442 , 0x206955060
443 , 0x206955080
444 , 0x2069550a0
445 , 0x2069550c0
446 , 0x2069550e0
447 , 0x206955100
160 , 0x206952d20
161 , 0x206952d40
162 , 0x206952d60
163 , 0x206952d80
164 , 0x206952da0
165 , 0x206952dc0
166 , 0x206952de0
167 , 0x206952e00
168 , 0x206952e20
169 , 0x206952e40
170 , 0x206952e60
171 , 0x206952e80
172 , 0x206952ea0
173 , 0x206952ec0
174 , 0x206952ee0
175 , 0x206952f00
176 , 0x206952f20
177 , 0x206952f40
178 , 0x206952f60
179 , 0x206952f80
180 , 0x206952fa0
181 , 0x206952fc0
182 , 0x206952fe0
183 , 0x206953000
184 , 0x206953020
185 , 0x206953040
186 , 0x206953060
187 , 0x206953080
188 , 0x2069530a0
189 , 0x2069530c0
190 , 0x2069530e0
191 , 0x206953100
32 , 0x206951d20
33 , 0x206951d40
34 , 0x206951d60
35 , 0x206951d80
36 , 0x206951da0
37 , 0x206951dc0
38 , 0x206951de0
39 , 0x206951e00
40 , 0x206951e20
41 , 0x206951e40
42 , 0x206951e60
43 , 0x206951e80
44 , 0x206951ea0
45 , 0x206951ec0
46 , 0x206951ee0
47 , 0x206951f00
48 , 0x206951f20
49 , 0x206951f40
50 , 0x206951f60
51 , 0x206951f80
52 , 0x206951fa0
53 , 0x206951fc0
54 , 0x206951fe0
55 , 0x206952000
56 , 0x206952020
57 , 0x206952040
58 , 0x206952060
59 , 0x206952080
60 , 0x2069520a0
61 , 0x2069520c0
62 , 0x2069520e0
63 , 0x206952100
cudaMalloc Execution time: 5 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
PASSED
