2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
623 , 0x206956700
624 , 0x206956720
625 , 0x206956740
626 , 0x206956760
627 , 0x206956780
628 , 0x2069567a0
629 , 0x2069567c0
630 , 0x2069567e0
631 , 0x206956800
632 , 0x206956820
633 , 0x206956840
634 , 0x206956860
635 , 0x206956880
636 , 0x2069568a0
637 , 0x2069568c0
638 , 0x2069568e0
639 , 0x206956900
896 , 0x206958920
897 , 0x206958940
898 , 0x206958960
899 , 0x206958980
900 , 0x2069589a0
901 , 0x2069589c0
902 , 0x2069589e0
903 , 0x206958a00
904 , 0x206958a20
905 , 0x206958a40
906 , 0x206958a60
907 , 0x206958a80
908 , 0x206958aa0
909 , 0x206958ac0
910 , 0x206958ae0
911 , 0x206958b00
912 , 0x206958b20
913 , 0x206958b40
914 , 0x206958b60
915 , 0x206958b80
916 , 0x206958ba0
917 , 0x206958bc0
918 , 0x206958be0
919 , 0x206958c00
920 , 0x206958c20
921 , 0x206958c40
922 , 0x206958c60
923 , 0x206958c80
924 , 0x206958ca0
925 , 0x206958cc0
926 , 0x206958ce0
927 , 0x206958d00
1600 , 0x20695e120
1601 , 0x20695e140
1602 , 0x20695e160
1603 , 0x20695e180
1604 , 0x20695e1a0
1605 , 0x20695e1c0
1606 , 0x20695e1e0
1607 , 0x20695e200
1608 , 0x20695e220
1609 , 0x20695e240
1610 , 0x20695e260
1611 , 0x20695e280
1612 , 0x20695e2a0
1613 , 0x20695e2c0
1614 , 0x20695e2e0
1615 , 0x20695e300
1616 , 0x20695e320
1617 , 0x20695e340
1618 , 0x20695e360
1619 , 0x20695e380
1620 , 0x20695e3a0
1621 , 0x20695e3c0
1622 , 0x20695e3e0
1623 , 0x20695e400
1624 , 0x20695e420
1625 , 0x20695e440
1626 , 0x20695e460
1627 , 0x20695e480
1628 , 0x20695e4a0
1629 , 0x20695e4c0
1630 , 0x20695e4e0
1631 , 0x20695e500
1568 , 0x20695dd20
1569 , 0x20695dd40
1570 , 0x20695dd60
1571 , 0x20695dd80
1572 , 0x20695dda0
1573 , 0x20695ddc0
1574 , 0x20695dde0
1575 , 0x20695de00
1576 , 0x20695de20
1577 , 0x20695de40
1578 , 0x20695de60
1579 , 0x20695de80
1580 , 0x20695dea0
1581 , 0x20695dec0
1582 , 0x20695dee0
1583 , 0x20695df00
1584 , 0x20695df20
1585 , 0x20695df40
1586 , 0x20695df60
1587 , 0x20695df80
1588 , 0x20695dfa0
1589 , 0x20695dfc0
1590 , 0x20695dfe0
1591 , 0x20695e000
1592 , 0x20695e020
1593 , 0x20695e040
1594 , 0x20695e060
1595 , 0x20695e080
1596 , 0x20695e0a0
1597 , 0x20695e0c0
1598 , 0x20695e0e0
1599 , 0x20695e100
576 , 0x206956120
577 , 0x206956140
578 , 0x206956160
579 , 0x206956180
580 , 0x2069561a0
581 , 0x2069561c0
582 , 0x2069561e0
583 , 0x206956200
584 , 0x206956220
585 , 0x206956240
586 , 0x206956260
587 , 0x206956280
588 , 0x2069562a0
589 , 0x2069562c0
590 , 0x2069562e0
591 , 0x206956300
592 , 0x206956320
593 , 0x206956340
594 , 0x206956360
595 , 0x206956380
596 , 0x2069563a0
597 , 0x2069563c0
598 , 0x2069563e0
599 , 0x206956400
600 , 0x206956420
601 , 0x206956440
602 , 0x206956460
603 , 0x206956480
604 , 0x2069564a0
605 , 0x2069564c0
606 , 0x2069564e0
607 , 0x206956500
1792 , 0x20695f920
1793 , 0x20695f940
1794 , 0x20695f960
1795 , 0x20695f980
1796 , 0x20695f9a0
1797 , 0x20695f9c0
1798 , 0x20695f9e0
1799 , 0x20695fa00
1800 , 0x20695fa20
1801 , 0x20695fa40
1802 , 0x20695fa60
1803 , 0x20695fa80
1804 , 0x20695faa0
1805 , 0x20695fac0
1806 , 0x20695fae0
1807 , 0x20695fb00
1808 , 0x20695fb20
1809 , 0x20695fb40
1810 , 0x20695fb60
1811 , 0x20695fb80
1812 , 0x20695fba0
1813 , 0x20695fbc0
1814 , 0x20695fbe0
1815 , 0x20695fc00
1816 , 0x20695fc20
1817 , 0x20695fc40
1818 , 0x20695fc60
1819 , 0x20695fc80
1820 , 0x20695fca0
1821 , 0x20695fcc0
1822 , 0x20695fce0
1823 , 0x20695fd00
864 , 0x206958520
865 , 0x206958540
866 , 0x206958560
867 , 0x206958580
868 , 0x2069585a0
869 , 0x2069585c0
870 , 0x2069585e0
871 , 0x206958600
872 , 0x206958620
873 , 0x206958640
874 , 0x206958660
875 , 0x206958680
876 , 0x2069586a0
877 , 0x2069586c0
878 , 0x2069586e0
879 , 0x206958700
880 , 0x206958720
881 , 0x206958740
882 , 0x206958760
883 , 0x206958780
884 , 0x2069587a0
885 , 0x2069587c0
886 , 0x2069587e0
887 , 0x206958800
888 , 0x206958820
889 , 0x206958840
890 , 0x206958860
891 , 0x206958880
892 , 0x2069588a0
893 , 0x2069588c0
894 , 0x2069588e0
895 , 0x206958900
1856 , 0x206960120
1857 , 0x206960140
1858 , 0x206960160
1859 , 0x206960180
1860 , 0x2069601a0
1861 , 0x2069601c0
1862 , 0x2069601e0
1863 , 0x206960200
1864 , 0x206960220
1865 , 0x206960240
1866 , 0x206960260
1867 , 0x206960280
1868 , 0x2069602a0
1869 , 0x2069602c0
1870 , 0x2069602e0
1871 , 0x206960300
1872 , 0x206960320
1873 , 0x206960340
1874 , 0x206960360
1875 , 0x206960380
1876 , 0x2069603a0
1877 , 0x2069603c0
1878 , 0x2069603e0
1879 , 0x206960400
1880 , 0x206960420
1881 , 0x206960440
1882 , 0x206960460
1883 , 0x206960480
1884 , 0x2069604a0
1885 , 0x2069604c0
1886 , 0x2069604e0
1887 , 0x206960500
1696 , 0x20695ed20
1697 , 0x20695ed40
1698 , 0x20695ed60
1699 , 0x20695ed80
1700 , 0x20695eda0
1701 , 0x20695edc0
1702 , 0x20695ede0
1703 , 0x20695ee00
1704 , 0x20695ee20
1705 , 0x20695ee40
1706 , 0x20695ee60
1707 , 0x20695ee80
1708 , 0x20695eea0
1709 , 0x20695eec0
1710 , 0x20695eee0
1711 , 0x20695ef00
1712 , 0x20695ef20
1713 , 0x20695ef40
1714 , 0x20695ef60
1715 , 0x20695ef80
1716 , 0x20695efa0
1717 , 0x20695efc0
1718 , 0x20695efe0
1719 , 0x20695f000
1720 , 0x20695f020
1721 , 0x20695f040
1722 , 0x20695f060
1723 , 0x20695f080
1724 , 0x20695f0a0
1725 , 0x20695f0c0
1726 , 0x20695f0e0
1727 , 0x20695f100
1632 , 0x20695e520
1633 , 0x20695e540
1634 , 0x20695e560
1635 , 0x20695e580
1636 , 0x20695e5a0
1637 , 0x20695e5c0
1638 , 0x20695e5e0
1639 , 0x20695e600
1640 , 0x20695e620
1641 , 0x20695e640
1642 , 0x20695e660
1643 , 0x20695e680
1644 , 0x20695e6a0
1645 , 0x20695e6c0
1646 , 0x20695e6e0
1647 , 0x20695e700
1648 , 0x20695e720
1649 , 0x20695e740
1650 , 0x20695e760
1651 , 0x20695e780
1652 , 0x20695e7a0
1653 , 0x20695e7c0
1654 , 0x20695e7e0
1655 , 0x20695e800
1656 , 0x20695e820
1657 , 0x20695e840
1658 , 0x20695e860
1659 , 0x20695e880
1660 , 0x20695e8a0
1661 , 0x20695e8c0
1662 , 0x20695e8e0
1663 , 0x20695e900
480 , 0x206955520
481 , 0x206955540
482 , 0x206955560
483 , 0x206955580
484 , 0x2069555a0
485 , 0x2069555c0
486 , 0x2069555e0
487 , 0x206955600
488 , 0x206955620
489 , 0x206955640
490 , 0x206955660
491 , 0x206955680
492 , 0x2069556a0
493 , 0x2069556c0
494 , 0x2069556e0
495 , 0x206955700
496 , 0x206955720
497 , 0x206955740
498 , 0x206955760
499 , 0x206955780
500 , 0x2069557a0
501 , 0x2069557c0
502 , 0x2069557e0
503 , 0x206955800
504 , 0x206955820
505 , 0x206955840
506 , 0x206955860
507 , 0x206955880
508 , 0x2069558a0
509 , 0x2069558c0
510 , 0x2069558e0
511 , 0x206955900
800 , 0x206957d20
801 , 0x206957d40
802 , 0x206957d60
803 , 0x206957d80
804 , 0x206957da0
805 , 0x206957dc0
806 , 0x206957de0
807 , 0x206957e00
808 , 0x206957e20
809 , 0x206957e40
810 , 0x206957e60
811 , 0x206957e80
812 , 0x206957ea0
813 , 0x206957ec0
814 , 0x206957ee0
815 , 0x206957f00
816 , 0x206957f20
817 , 0x206957f40
818 , 0x206957f60
819 , 0x206957f80
820 , 0x206957fa0
821 , 0x206957fc0
822 , 0x206957fe0
823 , 0x206958000
824 , 0x206958020
825 , 0x206958040
826 , 0x206958060
827 , 0x206958080
828 , 0x2069580a0
829 , 0x2069580c0
830 , 0x2069580e0
831 , 0x206958100
1920 , 0x206960920
1921 , 0x206960940
1922 , 0x206960960
1923 , 0x206960980
1924 , 0x2069609a0
1925 , 0x2069609c0
1926 , 0x2069609e0
1927 , 0x206960a00
1928 , 0x206960a20
1929 , 0x206960a40
